MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
MitsubishiPajeroVDi BS-IV,Mitsubishi,Pajero,VDi BS-IV,Hatchback,Manual,Diesel,8,1,Red,4.8,6.8,"83,000",631156,306222,51.5
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Manual,diesel,9,2,Brown,5,3.4,"1,46,922",607772,342958,43.6
MitsubishiCrossLdi BS-IV,Mitsubishi,Cross,Ldi BS-IV,Hatchback,Automatic,diesel,7,1,Silver,5.7,6.4,"69,000",607772,265200,56.4
MitsubishiCelerioZxi,Mitsubishi,Celerio,Zxi,Hatchback,Automatic,Petrol,4,1,White,5.3,8.2,"31,488",566138,379950,32.9
MazdaTitanFluidic 1.6 VTVT SX,Mazda,Titan,Fluidic 1.6 VTVT SX,Sedan,Manual,Petrol,7,1,White,4.8,4,"69,200",1046416,520950,50.2
NissanBird1.2VI-vtec,Nissan,Bird,1.2VI-vtec,Sedan,Manual,Petrol,3,1,Red,5,5.2,"19,000",843315,591836,29.8
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,7,1,Silver,9.8,8,"78,695",1352344,449060,66.8
MitsubishiEeco7 STR,Mitsubishi,Eeco,7 STR,Van,Manual,cng,8,1,Silver,6.8,5.4,"45,412",424691,215600,49.2
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,8,1,Silver,4.3,8.6,"57,000",446864,189200,57.7
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,8,1,Golden,4.5,4.6,"25,000",610408,278838,54.3
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,8,1,Black,4.3,7.2,"76,722",336331,136400,59.4
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,10,1,Grey,5.2,9.6,"70,000",1464334,306222,79.1
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,8,1,Brown,5,4.5,"36,000",490492,198000,59.6
MazdaClass RX20Triton 1.2,Mazda,Class RX20,Triton 1.2,Hatchback,Manual,Petrol,2,1,Silver,5,7.7,"7,500",712796,511438,28.2
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,1,Grey,6.8,3.8,"37,502",462988,260662,43.7
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,10,2,Blue,5,5.9,"62,000",653057,198000,69.7
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,White,8.5,6.7,"45,779",585070,247072,57.8
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Automatic,Petrol,9,1,Grey,6.8,6.4,"45,700",741508,278838,62.4
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,10,1,Blue,4.5,9.9,"53,000",1675849,324558,80.6
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,5,1,Brown,5.3,5,"80,893",475198,315382,33.6
MitsubishiMirageAlpha 1.2,Mitsubishi,Mirage,Alpha 1.2,Hatchback,Manual,Petrol,3,1,White,5,4.2,"17,000",851135,655798,23
MazdaAtenzaExecutive,Mazda,Atenza,Executive,Sedan,Manual,Petrol,9,1,White,4.5,7.2,"61,000",596659,167200,72
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Manual,Petrol,4,1,Grey,9.9,9.9,"35,500",598134,412528,31
MazdaRX10G5 1.2 AT with Sunroof,Mazda,RX10,G5 1.2 AT with Sunroof,Hatchback,Automatic,Petrol,4,1,White,4.3,5.2,"43,000",685269,352182,48.6
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,6,2,White,4.8,6.1,"71,000",870791,393888,54.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,Red,6.8,5,"34,152",585070,347568,40.6
FordEdgeV,Ford,Edge,V,Sedan,Manual,Petrol,7,1,White,4,4.6,"66,949",781928,324558,58.5
MazdaRX20G5 1.4 (AT),Mazda,RX20,G5 1.4 (AT),Hatchback,Automatic,Petrol,5,1,White,4.5,8.4,"22,000",893729,338352,62.1
MazdaTitanSx,Mazda,Titan,Sx,Sedan,Manual,diesel,7,1,White,5.7,5.8,"65,789",1364516,592800,56.6
NissanMaximaVI-vtec,Nissan,Maxima,VI-vtec,Sedan,Manual,Petrol,9,1,White,4.5,9.9,"58,000",1162170,265200,77.2
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,5,2,Blue,9.9,6.3,"30,500",533447,287950,46
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,6,1,Silver,3.8,8.2,"73,305",1352344,549582,59.4
MazdaTitanFluidic 1.6 VTVT SX Opt AT,Mazda,Titan,Fluidic 1.6 VTVT SX Opt AT,Sedan,Automatic,Petrol,6,1,Silver,5,8.6,"22,000",1187794,520950,56.1
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,Petrol + CNG,6,1,White,4.8,5.4,"62,000",503628,247072,50.9
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,Silver,4.5,6.6,"72,075",944779,433106,54.2
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,9,1,White,9.9,5.6,"31,655",870791,310800,64.3
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,White,4.5,8.6,"38,929",1525510,435918,71.4
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,4,1,White,4.5,4.6,"24,000",507718,426551,16
FordPinto Crysta2.4Gx8Str,Ford,Pinto Crysta,2.4Gx8Str,MUV,Manual,Diesel,2,1,Purple,4.2,5.4,"39,500",1810139,1520000,16
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,10,1,White,4.5,7.8,"45,000",1675849,260662,84.4
MazdaRX20Triton(o)1.4Crdi,Mazda,RX20,Triton(o)1.4Crdi,Hatchback,Manual,diesel,8,1,Blue,6.1,5,"67,000",650710,393888,39.5
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,5,1,White,6.3,3.4,"34,000",741508,511438,31
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,Diesel,8,1,Grey,9.5,7.6,"76,109",1322223,787804,40.4
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,diesel,7,1,Grey,4.3,7.2,"54,502",806541,379950,52.9
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,3,1,Brown,4.6,6.1,"37,000",514112,342958,33.3
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,1,Golden,4.8,9.3,"85,000",462988,158400,65.8
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,diesel,6,1,other,5.7,4.6,"54,367",3013628,1828750,39.3
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,11,1,Silver,9.9,7.4,"27,700",490492,130240,73.4
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,5,2,Grey,3.8,8.5,"63,000",806541,398542,50.6
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,8,1,Grey,6.8,3.8,"12,000",482567,264292,45.2
NissanMaximaIVtecCvtVx,Nissan,Maxima,IVtecCvtVx,Hatchback,Automatic,Petrol,3,1,Maroon,5,4.9,"7,759",1514307,1038400,31.4
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,6,1,Blue,5,7.3,"26,800",870791,387379,55.5
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,10,1,Red,8.1,6.6,"22,000",640982,251598,60.7
MazdaRX20G5 1.2 (O) With Sunroof,Mazda,RX20,G5 1.2 (O) With Sunroof,Hatchback,Manual,Petrol,8,2,White,5,6,"27,774",790075,265200,66.4
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,7,1,White,4.5,9.1,"71,800",1217935,435918,64.2
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,White,6.8,3.4,"45,245",585070,366048,37.4
MazdaTitan1.6SxCrdiAt,Mazda,Titan,1.6SxCrdiAt,Sedan,Automatic,Diesel,7,2,Grey,4.3,7.9,"61,000",1463428,473550,67.6
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,CNG,10,1,Grey,6.8,4.6,"47,003",446864,211200,52.7
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,9,1,Silver,5,5.7,"65,000",653057,233518,64.2
MitsubishiChallengerLX BS-IV,Mitsubishi,Challenger,LX BS-IV,Hatchback,Manual,Petrol,6,1,Red,6.4,7.2,"41,000",320206,176000,45
NissanMicra1.5 SX i-DTEC,Nissan,Micra,1.5 SX i-DTEC,Sedan,Manual,Diesel,5,1,White,4.6,7.1,"61,000",960606,417198,56.6
MazdaNeo Fluidic Runner1.6SxAtCrdi,Mazda,Neo Fluidic Runner,1.6SxAtCrdi,Sedan,Automatic,Diesel,5,1,Beige,8.5,5.5,"35,000",2228480,1105703,50.4
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Automatic,Petrol,11,1,Black,5.7,9.2,"1,12,000",1464334,265200,81.9
MazdaAccioBase1.2Cng,Mazda,Accio,Base1.2Cng,Sedan,Manual,Petrol + CNG,2,1,White,9.8,8.2,"42,000",602752,412528,31.6
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,10,1,Blue,4.5,4.4,"63,000",581615,260662,55.2
NissanMicra1.5 S i-DTEC,Nissan,Micra,1.5 S i-DTEC,Sedan,Manual,Diesel,5,1,White,4.7,4.6,"65,000",900907,473550,47.4
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,5,1,Golden,9.5,4,"42,000",1525510,724398,52.5
MitsubishiSx4VXI BS-IV,Mitsubishi,Sx4,VXI BS-IV,Sedan,Manual,Petrol,6,2,Grey,4.2,9.4,"1,28,000",825224,189200,77.1
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,8,1,Maroon,5,5,"18,000",336331,162800,51.6
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,3,1,White,3.3,7.4,"37,000",514112,310800,39.5
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,Silver,4.8,5,"70,000",741508,356800,51.9
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Red,5.7,8.5,"49,000",563323,154000,72.7
NissanMicra1.2 SX i-VTEC,Nissan,Micra,1.2 SX i-VTEC,Sedan,Manual,Petrol,4,1,Maroon,4.8,6.4,"37,100",825993,403200,51.2
NissanTerrano2.4 VTi-L AT,Nissan,Terrano,2.4 VTi-L AT,Sedan,Automatic,Petrol,10,1,White,5,9.9,"62,000",1971286,426550,78.4
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,9,1,Black,5,7,"42,000",581615,220000,62.2
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Red,5,9.9,"35,000",563323,127600,77.3
FordPinto2.5Z7Seater,Ford,Pinto,2.5Z7Seater,MUV,Manual,Diesel,4,1,Silver,8.3,4,"39,000",1890086,1401250,25.9
MazdaRX20Laputa 1.2 BS-IV,Mazda,RX20,Laputa 1.2 BS-IV,Hatchback,Manual,Petrol,4,1,Grey,4.6,6.8,"55,000",685269,389238,43.2
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,Golden,6.7,6,"50,000",944779,497200,47.4
MazdaGrand RX10Laputa (O) 1.2 Grind VTVT,Mazda,Grand RX10,Laputa (O) 1.2 Grind VTVT,Hatchback,Manual,Petrol,1,1,Flame Orange,8.5,6.2,"1,600",688820,506688,26.4
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol + LPG,7,1,White,4.5,7.2,"25,724",490492,211200,56.9
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,6,1,Black,4.8,5.2,"50,000",828687,449999,45.7
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,9,1,Silver,4.5,9.9,"53,000",738248,180400,75.6
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,10,2,Golden,5,4.2,"51,000",482567,184800,61.7
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,1,Beige,5,9.1,"68,000",771954,136400,82.3
NissanMaximaV,Nissan,Maxima,V,Sedan,Manual,Petrol,7,2,Grey,3.8,9.9,"75,000",1151018,333750,71
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Red,6.8,9.2,"66,000",563323,158400,71.9
MitsubishiS-CrossZeta 1.3,Mitsubishi,S-Cross,Zeta 1.3,Crossover,Manual,Diesel,2,1,White,3.5,9.9,"16,615",1161451,884142,23.9
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,10,2,Black,3.8,9.2,"99,000",828687,176000,78.8
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,2,Brown,5,7.8,"45,000",944779,325634,65.5
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,9,1,silver,6.8,7.6,"52,000",1525510,426550,72
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,5,1,Silver,8.3,5.8,"42,000",944779,542219,42.6
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,White,3.3,4.2,"1,39,838",996627,473550,52.5
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,White,6.4,9,"57,700",1525510,473550,69
FordPintoG4,Ford,Pinto,G4,MUV,Manual,Diesel,12,2,Golden,4.3,8.2,"1,07,000",1155863,319968,72.3
FordPinto2.0 G4,Ford,Pinto,2.0 G4,MUV,Manual,diesel,12,2,Beige,6.1,3.8,"1,15,000",1039684,450000,56.7
FordMustang Altis1.8 J,Ford,Mustang Altis,1.8 J,Sedan,Manual,Petrol,8,1,Golden,6.4,9.2,"64,000",1352344,457525,66.2
MazdaRX20G51.4(o),Mazda,RX20,G51.4(o),Hatchback,Manual,Diesel,7,2,White,4,8.2,"67,000",639278,333750,47.8
FordMustang Altis1.8 VL AT,Ford,Mustang Altis,1.8 VL AT,Sedan,Manual,Petrol,3,1,Golden,4.5,5.9,"8,000",1817654,1705250,6.2
NissanTerrano2.4 Inspire MT,Nissan,Terrano,2.4 Inspire MT,Sedan,Manual,Petrol,9,1,other,6.8,7.4,"48,000",2446810,714550,70.8
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,Diesel,11,1,White,9.9,5.1,"87,436",1585233,497200,68.6
NissanBird1.2VI-vtec,Nissan,Bird,1.2VI-vtec,Sedan,Manual,Petrol,6,1,White,6.1,7.8,"47,135",843315,375312,55.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,9,1,Red,4.3,4.4,"73,000",870791,310800,64.3
MitsubishiChallenger K10VXi,Mitsubishi,Challenger K10,VXi,Hatchback,Manual,Petrol,6,1,Silver,5,8.8,"40,000",436340,176000,59.7
MitsubishiEclipseLXi Minor,Mitsubishi,Eclipse,LXi Minor,Hatchback,Manual,Petrol,9,1,Blue,6.8,4.4,"51,504",412035,198000,51.9
NissanMaxima1.5 V AT Sunroof,Nissan,Maxima,1.5 V AT Sunroof,Sedan,Automatic,Petrol,6,1,White,8.3,6.9,"65,000",1245846,638479,48.8
NissanMaxima1.5SvI-vtec,Nissan,Maxima,1.5SvI-vtec,Sedan,Manual,Petrol,4,1,Maroon,5,9.1,"21,000",1123366,636342,43.4
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,7,1,Silver,5.2,7.4,"71,000",741508,282299,61.9
MitsubishiCrossLxi BS-IV,Mitsubishi,Cross,Lxi BS-IV,Hatchback,Automatic,Petrol,7,1,White,5.7,6.4,"64,625",499579,260662,47.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,Golden,5,7.7,"50,200",585070,220000,62.4
MitsubishiPajeroZXi 1.2 BS-IV,Mitsubishi,Pajero,ZXi 1.2 BS-IV,Hatchback,Manual,Petrol,8,1,Black,5,4,"34,000",623636,287950,53.8
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,diesel,6,1,White,5,5.4,"81,000",566633,431232,23.9
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,5,1,Beige,3.8,5.8,"62,000",490492,283392,42.2
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,10,2,Black,4.5,8.2,"67,000",771954,180400,76.6
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Automatic,Petrol,10,1,Silver,6.8,6.8,"48,321",640982,287950,55.1
FordPinto2.0 VX 7 STR BS-IV,Ford,Pinto,2.0 VX 7 STR BS-IV,MUV,Manual,diesel,5,1,Grey,5.7,3.8,"43,000",1637835,1282500,21.7
MazdaTitanSxOptAt,Mazda,Titan,SxOptAt,Sedan,Automatic,diesel,8,1,White,5,9.9,"4,50,000",1433671,403200,71.9
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,1,Silver,5,4.2,"44,000",738248,333750,54.8
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,4,1,Silver,4.6,7.6,"54,000",514112,266845,48.1
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,2,Grey,6.8,5.4,"51,658",563323,220000,60.9
MitsubishiPajero FocusVDi BS-IV,Mitsubishi,Pajero Focus,VDi BS-IV,Sedan,Manual,diesel,5,1,White,3.8,9.9,"60,000",783061,417198,46.7
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,8,1,Red,4.5,5.4,"42,453",482567,256128,46.9
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,Petrol,11,1,White,7,9.2,"51,980",1883226,311716,83.4
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,10,1,White,6.8,4.2,"35,000",505259,251598,50.2
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,6,1,White,4.8,4.5,"66,000",806541,361422,55.2
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,Diesel,6,1,Blue,4.6,6.7,"89,000",1322223,964525,27.1
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,8,2,other,6.4,9.4,"65,000",536698,314465,41.4
MazdaTitanVTVT 1.6,Mazda,Titan,VTVT 1.6,Sedan,Manual,Petrol,9,1,Beige,6.4,7,"58,000",761875,260662,65.8
MitsubishiEstiloLXi CNG BS-IV,Mitsubishi,Estilo,LXi CNG BS-IV,Hatchback,Manual,Petrol,5,1,White,4.5,8.4,"24,000",469858,238032,49.3
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,1,Silver,4,7.9,"72,000",738248,310800,57.9
MitsubishiEclipseVXi BS-III,Mitsubishi,Eclipse,VXi BS-III,Hatchback,Manual,Petrol,11,2,Red,5,9.1,"71,383",411607,115720,71.9
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Manual,Diesel,10,1,Black,5,6.8,"75,000",768774,220000,71.4
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Automatic,Diesel,6,1,Silver,4.3,4.2,"53,375",651184,325476,50
MitsubishiCrossVXI BS-IV,Mitsubishi,Cross,VXI BS-IV,Hatchback,Manual,Petrol,7,1,Silver,3.8,5.7,"73,275",566808,251598,55.6
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Automatic,Petrol,7,1,Red,6.8,4.8,"28,913",598134,347568,41.9
MazdaTitanFluidic 1.6 CRDi SX AT,Mazda,Titan,Fluidic 1.6 CRDi SX AT,Sedan,Automatic,Diesel,6,1,Silver,4.8,7.7,"54,000",1303739,587982,54.9
MitsubishiPajero FocusVXI AT,Mitsubishi,Pajero Focus,VXI AT,Sedan,Automatic,Petrol,6,1,White,4.5,4.2,"22,000",792908,487728,38.5
FordCamry2.5G,Ford,Camry,2.5G,Sedan,Automatic,Petrol,3,1,Silver,5.3,6.8,"29,000",3527401,2042500,42.1
MitsubishiPajero FocusZDI,Mitsubishi,Pajero Focus,ZDI,Sedan,Manual,Diesel,6,1,White,9.8,7.4,"1,05,000",942668,497200,47.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,White,9.9,9.7,"50,000",585070,242550,58.5
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,10,1,Maroon,5,9.1,"49,000",514112,123200,76
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,4,1,White,3.3,9.9,"73,000",1217935,592800,51.3
NissanMaxima1.5SvI-vtec,Nissan,Maxima,1.5SvI-vtec,Sedan,Manual,Petrol,3,1,White,4.8,8.8,"32,000",1123366,665550,40.8
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,6,1,Silver,7,7,"17,221",446864,338352,24.3
MitsubishiEstiloLXi CNG BS-IV,Mitsubishi,Estilo,LXi CNG BS-IV,Hatchback,Manual,Petrol + CNG,4,1,Red,9.9,5.2,"24,055",469858,260662,44.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,6,1,Grey,8.5,6.6,"30,000",944779,515241,45.5
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,8,1,White,5,4.2,"42,633",581615,287950,50.5
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,Petrol + CNG,6,1,Silver,3.8,8.2,"68,542",503628,242550,51.8
FordEdgeGD,Ford,Edge,GD,Sedan,Manual,Diesel,6,1,Red,4.8,5.9,"67,883",817586,379950,53.5
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,8,1,Red,4.5,7.2,"41,000",446864,219120,51
MitsubishiEclipseLxiCng,Mitsubishi,Eclipse,LxiCng,Hatchback,Manual,Petrol + CNG,9,1,Golden,5,5.6,"54,819",514112,189200,63.2
FordMustang Altis1.8 GL,Ford,Mustang Altis,1.8 GL,Sedan,Manual,Petrol,7,1,Black,3.3,4.2,"1,14,001",1690430,763951,54.8
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,10,1,Golden,8.1,5.3,"1,55,000",1120298,497200,55.6
MazdaAtenzaExecutive,Mazda,Atenza,Executive,Sedan,Manual,Petrol,7,1,Silver,4.3,5.1,"41,000",596659,206800,65.3
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,10,2,Red,5.7,9.6,"1,12,000",806541,242550,69.9
MitsubishiSx4VXI BS-IV,Mitsubishi,Sx4,VXI BS-IV,Sedan,Manual,Petrol,8,1,Blue,5,7.7,"39,000",825224,242550,70.6
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,1,Red,5,5.9,"45,000",738248,311716,57.8
MazdaRX10Triton1.1,Mazda,RX10,Triton1.1,Hatchback,Manual,Petrol,9,1,Golden,4.3,6.6,"68,000",530124,184800,65.1
MazdaTitanEx,Mazda,Titan,Ex,Sedan,Manual,Petrol,10,1,Silver,6.8,9.6,"62,345",1197165,220000,81.6
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,8,1,Silver,6.8,9.6,"46,233",1139496,454702,60.1
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Manual,diesel,5,1,White,3.8,7.4,"43,500",768774,426550,44.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,9,1,Silver,6.8,3.4,"39,979",870791,450000,48.3
MazdaTitanXi,Mazda,Titan,Xi,Sedan,Manual,Petrol,11,1,Silver,4.3,9.9,"1,07,000",751422,154000,79.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,2,Grey,5,9.6,"74,000",837628,158400,81.1
NissanTerrano2.4EleganceMt,Nissan,Terrano,2.4EleganceMt,Sedan,Manual,Petrol,8,1,Golden,4.3,8.2,"59,000",2370072,578358,75.6
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,5,1,Silver,3.8,6,"56,500",996627,665550,33.2
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,10,1,Blue,4.5,5.2,"53,254",336331,118800,64.7
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,Diesel,7,1,Silver,9.3,7.7,"1,15,000",1322223,833782,36.9
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,4,1,White,9.9,4,"11,117",507718,384920,24.2
MitsubishiPajeroVxi(o),Mitsubishi,Pajero,Vxi(o),Hatchback,Manual,Petrol,1,1,White,4.5,9.9,"1,620",567959,530478,6.6
NissanMaximaVX,Nissan,Maxima,VX,Sedan,Manual,Petrol,5,1,Black,5,9.9,"76,765",1295820,621792,52
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,7,1,Red,6.8,5.8,"11,129",507718,329152,35.2
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,12,3,Red,6.4,6,"85,000",336331,110000,67.3
